lokasi,latitude,longitude,curah_hujan,penggunaan lahan,jenis tanah,Kategori Curah Hujan,Labeling,geometry,jumlah_banjir,Hasil_Prediksi,Probabilitas_Prediksi
"JAWA BARAT, KABUPATEN BANDUNG, CILEUNYI, CILEUNYI WETAN",-6934567,107750193,2071.97,0.5,0.42857142857142855,0.5,1.0,POINT (107750193 -6934567),1,0.0,0.01
"JAWA BARAT, KABUPATEN BANDUNG, CILEUNYI, CIMEKAR",-6940494,107735261,2097.31,0.625,0.7142857142857142,0.5,1.0,POINT (107735261 -6940494),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CILEUNYI, CINUNUK",-6940177,107729558,2104.21,1.0,0.7142857142857142,0.5,1.0,POINT (107729558 -6940177),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CILEUNYI, CIBIRU HILIR",-6959794,107717461,2121.28,0.0,0.7142857142857142,0.5,0.0,POINT (107717461 -6959794),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CILEUNYI, CIBIRU WETAN",-6936866,107754663,2063.62,0.0,0.42857142857142855,0.25,0.0,POINT (107754663 -6936866),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIMENYAN",-687995,107659174,2134.86,0.5,0.5714285714285714,0.75,1.0,POINT (107659174 -687995),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CIMENYAN, MANDALAMEKAR",-6873687,107674563,86.899,0.5,0.5714285714285714,0.0,0.0,POINT (107674563 -6873687),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIMENYAN, CIKADUT",-6876812,107685187,2137.34,0.5,0.5714285714285714,0.75,1.0,POINT (107685187 -6876812),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CIMENYAN, CIBURIAL",-6859063,107642187,2134.45,0.5,0.5714285714285714,0.75,1.0,POINT (107642187 -6859063),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CIMENYAN, SINDANGLAYA",-6885938,107689188,2137.63,0.5,0.5714285714285714,0.75,1.0,POINT (107689188 -6885938),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CIMENYAN, MEKARSALUYU",-6861438,107655062,85.865,1.0,0.5714285714285714,0.0,0.0,POINT (107655062 -6861438),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIMENYAN, MEKARMANIK",-6858688,107700312,2134.58,0.0,0.2857142857142857,0.75,0.0,POINT (107700312 -6858688),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG, JATIENDAH",-6901563,107697688,2136.88,1.0,0.5714285714285714,0.75,1.0,POINT (107697688 -6901563),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG",-6895509,107737729,75.332,0.5,0.5714285714285714,0.0,0.0,POINT (107737729 -6895509),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG, CIPANJALU",-6866374,107724931,81.632,0.0,0.2857142857142857,0.0,0.0,POINT (107724931 -6866374),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG, MELATIWANGI",-6883688,107708062,84.463,1.0,0.5714285714285714,0.0,0.0,POINT (107708062 -6883688),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG, CIPOREAT",-6888145,107729171,2117.41,0.5,0.5714285714285714,0.5,1.0,POINT (107729171 -6888145),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG, GIRIMEKAR",-6895014,107692086,2138.16,0.625,0.5714285714285714,0.75,1.0,POINT (107692086 -6895014),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, LENGKONG",-69764,107635177,2230.77,1.0,0.7142857142857142,1.0,1.0,POINT (107635177 -69764),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG",-6985197,107631823,123.574,1.0,0.7142857142857142,0.0,0.0,POINT (107631823 -6985197),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, BUAHBATU",-6967187,107637607,2221.87,0.625,0.7142857142857142,0.75,1.0,POINT (107637607 -6967187),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, CIPAGALO",-6970813,107652812,2212.66,1.0,0.7142857142857142,0.75,1.0,POINT (107652812 -6970813),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, BOJONGSARI",-6997868,107655295,2219.51,0.25,0.7142857142857142,0.75,0.0,POINT (107655295 -6997868),1,0.0,0.15
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, TEGALLUAR",-6983973,107690241,2167.85,1.0,0.7142857142857142,0.75,1.0,POINT (107690241 -6983973),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, MARGAHAYU, MARGAHAYU TENGAH",-6963003,107577496,2213.46,1.0,0.7142857142857142,0.75,1.0,POINT (107577496 -6963003),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, MARGAHAYU, SUKAMENAK",-6966867,107578086,2215.64,1.0,0.7142857142857142,0.75,1.0,POINT (107578086 -6966867),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, MARGAHAYU, SAYATI",-6974538,10757866,2218.53,0.625,0.7142857142857142,0.75,1.0,POINT (10757866 -6974538),2,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, MARGAASIH",-6943611,107554618,2208.38,0.625,0.7142857142857142,0.75,1.0,POINT (107554618 -6943611),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, MARGAASIH, LAGADAR",-6932163,107540854,2210.83,1.0,0.7142857142857142,0.75,1.0,POINT (107540854 -6932163),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, MARGAASIH, NANJUNG",-6954842,10754495,2221.15,0.625,0.7142857142857142,0.75,1.0,POINT (10754495 -6954842),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, MARGAASIH, RAHAYU",-6963088,10756532,2215.76,1.0,0.7142857142857142,0.75,1.0,POINT (10756532 -6963088),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, MARGAASIH, CIGONDEWAH HILIR",-6958067,107558631,114.9,0.625,0.7142857142857142,0.0,0.0,POINT (107558631 -6958067),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, KATAPANG",-7008994,107547562,2243.97,0.625,1.0,1.0,1.0,POINT (107547562 -7008994),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, KATAPANG, GANDASARI",-7019955,107549179,125.705,1.0,1.0,0.0,0.0,POINT (107549179 -7019955),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT",-6983619,107619238,123.179,1.0,0.7142857142857142,0.0,0.0,POINT (107619238 -6983619),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, CITEUREUP",-6977669,107627161,2234.66,0.625,0.7142857142857142,1.0,1.0,POINT (107627161 -6977669),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, PAMEUNGPEUK, BOJONGMANGGU",-7040696,107617848,2205.97,0.5,0.5714285714285714,0.75,1.0,POINT (107617848 -7040696),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, RANCAEKEK WETAN",-6972738,107749403,2063.13,0.625,0.7142857142857142,0.25,0.0,POINT (107749403 -6972738),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, RANCAEKEK KULON",-6975362,107736463,2087.57,0.625,0.7142857142857142,0.5,1.0,POINT (107736463 -6975362),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, BOJONGLOA",-6979738,107754982,2049.91,0.625,0.7142857142857142,0.25,0.0,POINT (107754982 -6979738),2,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, SUKAMANAH",-6992168,107727294,2105.69,0.625,0.7142857142857142,0.5,1.0,POINT (107727294 -6992168),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY",-7035711,107713243,2116.88,0.0,0.7142857142857142,0.5,0.0,POINT (107713243 -7035711),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, GUNUNGLEUTIK",-7039121,107697727,2134.58,0.625,0.5714285714285714,0.75,1.0,POINT (107697727 -7039121),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, MEKARSARI",-7034466,107722777,2104.97,0.0,0.7142857142857142,0.5,0.0,POINT (107722777 -7034466),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, CIHEULANG",-7034345,107684737,93.929,0.0,0.5714285714285714,0.0,0.0,POINT (107684737 -7034345),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, SUMBERSARI",-7008205,107697573,2150.89,0.625,0.7142857142857142,0.75,1.0,POINT (107697573 -7008205),1,1.0,1.0
